активный активные
альтернативный альтернативные
апигенин апигенин
аскорбиновый аскорбиновая
атлас атлас
бакина бакин
белые белые
берег берегам
биологически биологически
благоприятный благоприятное
бюллетень бюллетень
верхний верхняя
ветрогонный ветрогонное ветрогонным
вещество вещества
вид виде
влияние влияние
встречаемость встречаемость
встречаться встречается
вып вып
высота высота
вяжущий вяжущее вяжущим
гемикриптофит гемикриптофит
гераниаль гераниаль
гераниола гераниол
гидроксикоричный гидроксикоричными
гнбс гнбс
грязно грязно
губа губе
губоцветный губоцветные
двугубый двугубые
действие действием действия
европейский европейской
жаропонижающий жаропонижающее
желудочный желудочно
жизненный жизненная
завязь завязь
зимнезелёный зимнезеленый
изд изд
информация информации
использоваться используются
источник источник
июль июль
июнь июнь
казан казан
казань казань
камфора камфора
карвакрол карвакрол
кариофилленоксид кариофилленоксид
каротиноид каротиноиды
карта карта
кверцетин кверцетин
кемпферол кемпферол
кислота кислота кислотами кислотой
кистевидный кистевидное
кишечный кишечный
кмк кмк
корень корень
котовник котовник
кофейный кофейной
кошачий кошачий кошачья
кумаров кумаровой
легенда легенда
летний летне
лист листья
литература литература
лихорадка лихорадке
луг лугам
лютеолин лютеолин
лёгкий легким
маевский маевский
марко марко
масло масла
место местам
мирицетин мирицетин
многолетник многолетник
морфологический морфологическая
мятый мята
надземный надземные
название названия
наличие наличие
научий науч
непеталактон непеталактон
нервный нервную
нерол нерол
нижний нижней
обладать обладают
обнаружить обнаружены
ограничение ограничений
оказывать оказывает
опушить опушенный
орган органы
организм организм
орешковидный орешковидный
основание основанием
остепненный остепненным
отвар отваров
палия палий
плод плод
полоса полосы
потогонное потогонное
представить представлены
предыдущий предыдущее
применение применение
применяться применяется
присутствовать присутствуют
прямостоячий прямостоячий
пыление пыления
пятно пятном
работяговый работягов
распадаться распадающийся
распространение распространения
растение растении растений растения
редко редко
река рек
рогов рогова
розмариновый розмариновой
россия россии
сбор сбора
седативный седативное седативным
семейство семейство
сердцевидный сердцевидным
сесквитерпеноид сесквитерпеноид
система систему
ситниковый ситников
склон склонам
следующий следующее
смотреть см
содержаться содержатся
соединение соединения
сорный сорным
состав состав составе
сосудистый сосудистые
соцветие соцветие
спазмолитический спазмолитическим спазмолитическое
спорадически спорадически
спороношение спороношения
средний средней
средство средство средством
стебель стебель
стержневой стержневой
стержнекорневой стержнекорневой
сухой сухом
татарстан татарстана
тип тип
тов тов
тонизировать тонизирующее тонизирующим
трава трава
травянистый травянистый
тракт тракт
треугольный треугольно
тычинка тычинок
уна ун
фенольный фенольные
феруллов ферулловой
фиолетовый фиолетовым
фитохимический фитохимический
флавона флавоны
флавоноид флавоноидами
флавонол флавонолами
флора флора
форма форма
фотограф фотограф
фотография фотографии
хамефита хамефит
характеристика характеристика
хлорогенов хлорогеновой
цветение цветения
цветок цветки
цветущий цветущие
ценобия ценобий
цитраль цитраль
цитронеллаль цитронеллаль
цитронеллол цитронеллол
часть части
шовкун шовкун
эвгенол эвгенол
экстракт экстрактов
эрем эрема
эфирный эфирного
являться является
яйцевидный яйцевидные
