академия академии
альтернативный альтернативные
апрель апреля
астма астме
атлас атлас
бакина бакин
берег берегам
болезнь болезни
бронхиальный бронхиальной
бронхолитический бронхолитическое
будра будра будры
василенко василенко
верхний верхних
вещество вещества
вид виде
водоём водоемов
возможность возможности
воспаление воспалении
встречаемость встречаемость
встречаться встречается
высота высота
гемикриптофит гемикриптофит
голый голый
губоцветный губоцветные
двугубый двугубые
действие действие действия
длинный длинных
допускать допускать
дорога дорог
дубильный дубильные
европейский европейской
железа железы
жизненный жизненная
жильё жилья
жёлчный желчного
заболевание заболеваниях
запах запахом
зимнезелёный зимнезеленый
известие известия
изд изд
иридоида иридоидами
использование использования
использовать использовать
использоваться используется
июль июль
кадир кадиров
казан казан
казань казань
карта карта
качество качестве
кмк кмк
крупногородчатый крупногородчатые
кустарник кустарникам
легенда легенда
лекарственный лекарственных
лес лесов
летний летне
лист листьев листья
литература литература
луг лугам
лёгкий легких
маевский маевский
макро макро
маринование мариновании
масло масла
мелкий мелкие
микроэлемент микроэлементы
многолетник многолетник
морфологический морфологическая
мочекаменный мочекаменной
мясо мяса
надземный надземной надземные
название названия
наличие наличие
нарушение нарушения
настой настой настоя
наука наук
научий науч
научный научного
обильный обильного
ограничение ограничений
округло округло
опушка опушкам
орган органы
организм организм
отвар отвар отвара
отёк отека
пазуха пазухах
передозировка передозировки
печень печени
плод плод
плющевидный плющевидная плющевидной
побег побегами
повышенный повышенной
ползучий ползучий
полоса полосы
получение получения
поляна полянам
попов попова
потливость потливости
почковидный почковидные
представить представлен
предыдущий предыдущее
препарат препаратов
применение применение
применяться применяются
примечание примечание
приподниматься приподнимающиеся
приём приеме
проявиться проявиться
пряность пряности
пузырь пузыря
пыление пыления
распространение распространения
растение растение растений растения
редко редко
ритм ритма
рогов рогова
российский российской
россия россии
самарский самарского
сбор сбора
семейство семейство
сердечный сердечного
сильный сильным
синий сине
ситниковый ситников
следовать следует
следующий следующее
слюнотечение слюнотечения
смотреть см
собранный собранные
собрать собраны
содержать содержит
соединение соединениями
состав состав
сосудистый сосудистые
специфический специфическим
спорадически спорадически
спороношение спороношения
средний средней средних
стебель стебель
татарстан татарстана
тип тип
тов тов
токсический токсическое
трава трава траву травы
травянистый травянистый
укореняться укореняющимися
уна ун
фенольный фенольными
фиолетовый фиолетовые
фитохимический фитохимический
флавоноид флавоноиды
флора флора
форма форма
фотограф фотограф
характеристика характеристика
химический химический
цветение цветения
цветок цветки
цветонос цветоносы
цветущий цветущее
ценобия ценобий
центр центра
часть части
черешок черешках
щитовидный щитовидной
эрем эремов
эфирный эфирного
ядовитый ядовитое ядовитый
