алкалоид алкалоиды
альтернативный альтернативные
амин амины
атлас атлас
ацевалтрат ацевалтрат
бакина бакин
белый белого
бессонница бессоннице
бледно бледно
блестящий блестящая
болото болот
борнеола борнеол
борнилизовалерианат борнилизовалерианат
валередина валередин
валереновый валереновая
валеренон валеренон
валериан валериана валерианы
валерианаля валерианаль
валериановый валериановая
валерина валерин
валехлорин валехлорин
валтрата валтрат
венчик венчик
весна весной
вещество вещества
вздутие вздутием
вид виде
возбуждение возбуждения
волжский волжская
ворончатый ворончатый
встречаемость встречаемость
встречаться встречается
входить входят
вырубка вырубкам
высота высота
высушить высушенные
гемикриптофит гемикриптофит
гиперфункция гиперфункции
гладкомышечный гладкомышечных
гликозид гликозиды
глотов глотов
голый голый
гэотар гэотар
действие действия
дигидровалтрат дигидровалтрат
длина длиной
дубильный дубильные
европейский европейской
железа железы
жизненный жизненная
жимолостный жимолостные
завязь завязь
заливное заливным
изд изд
изовалериановый изовалериановая
изовалероксидигидровалтрат изовалероксидигидровалтрат
изовалтрат изовалтрат
изредка изредка
информация информации
иридоид иридоидов
источник источник
июль июль
казан казан
казань казань
кардиологический кардиологическое
карта карта
кислота кислота кислоты
кмк кмк
корень корней корни корнями
корневище корневища корневище
коронарный коронарных
короткий короткое
короткокорневищный короткокорневищный
легенда легенда
леса лесам
лист листьев листья
литература литература
луг лугам
маевский маевский
масло масла
медиа медиа
мелкий мелкие
метельчатый метельчатое
мм мм
многолетник многолетник
морфологический морфологическая
название названия
наличие наличие
настой настоев
настойка настойки
научий науч
невроз неврозах
непарноперистый непарноперистые
нервный нервного
нижний нижней нижняя
ограничение ограничений
окраина окраинам
опушить опушенный
орган органов органы
организм организм
органический органические
освободить освобожденные
осень осенью
основание основания
остаток остатков
отгиб отгибом
отмыть отмытые
пинный пинен
пиррилметилкетон пиррилметилкетон
плод плод
подземный подземные
полоса полосы
полый полый
почва почвы
предыдущий предыдущее
придаточный придаточных
применение применение
применяютс применяютс
прямостоячий прямостоячий
пучок пучком
пыление пыления
пятилопастный пятилопастным
ранний ранней
распространение распространения
рассеянно рассеянно
растение растений растения
ребристый ребристый
редко редко
рогов рогова
розовый розового
россия россии
рыхлый рыхлое
самылина самылина
сбор сбора
свободный свободная свободные
седативный седативное
семейство семейство
семянка семянка
сердечно сердечно
сердцебиение сердцебиениями
сесквитерпеноид сесквитерпеноиды
система системы
ситниковый ситников
следующий следующее
смотреть см
собранный собранные
содержать содержат
сопровождаться сопровождающихся
состав состав
состояние состояниях
сосуд сосудов
сосудистый сосудистой сосудистые
соцветие соцветие
спазм спазмами спазмах
спорадически спорадически
спороношение спороношения
средний средней
средство средство
стебель стебель стеблей
супротивный супротивные
сырой сырым
татарстан татарстана
терпинеола терпинеол
тип тип
тов тов
травянистый травянистый
тритерпеновый тритерпеновые
трубка трубки
трубчатый трубчато
тычинка тычинок
уна ун
успокаивать успокаивающее
фармакогнозия фармакогнозия
фитохимический фитохимический
флора флора
форма форма
фотограф фотограф
фотография фотографии
характеристика характеристика
хатинина хатинин
цвет цвета
цветение цветения
цветок цветки
часть части
щитковидный щитковидно
щитовидный щитовидной
экстракт экстракта
эпидезацетилизовалтрат эпидезацетилизовалтрат
эфирный эфирного
яковлев яковлев
