авезов авезова
алкалоид алкалоиды
альтернативный альтернативные
антимикробный антимикробное
атлас атлас
бакина бакин
бензилизохинолиновый бензилизохинолиновые
биология биология
бурый бурого
василистник василистник
верхушка верхушке
ветвиться ветвящийся
вид виде
вонючий вонючий
встречаемость встречаемость
встречаться встречается
высота высота
высушить высушенная высушенные
гамма гамма
гемикриптофит гемикриптофит
гидроксидалидазин гидроксидалидазин
гипертония гипертонии
гладкий гладкий
действие действия
длинночерешковый длинночерешковые
доля доли
дорога дорог
европейский европейской
желтуха желтухе
желудочный желудочно
женский женской
жизненный жизненная
жирный жирные
журнал журнал
заболевание заболеваниях
заготовить заготовленные
изд изд
изопироидный изопироидный
изотализопарвин изотализопарвин
интегративный интегративная
использоваться используется
источник источник
июль июль
июнь июнь
казан казан
казань казань
карвакрол карвакрол
кардиологический кардиологическое
каромат кароматов
карта карта
кислота кислоты
кишечный кишечного
кмк кмк
корень корней корни корнях
корневище корневища корневище
короткий короткое
косимов косимова
красноватый красновато
кровеостанавливать кровеостанавливающее
кровообращение кровообращения
кровоостанавливающий кровоостанавливающее
кровотечение кровотечений
легенда легенда
лекарственный лекарственные
леса лесам
лечение лечении
лист листа листья
литература литература
луг лугам
лютиковый лютиковые
лёгкий легких
лёгочный легочных
маевский маевский
малый малый
малярия малярии
масло масло
маточный маточных
медицина медицина
метилканадин метилканадин
метилталикберина метилталикберин
метилталметина метилталметин
метёлка метелка
многолетник многолетник
многоорешек многоорешек
морфологический морфологическая
надземный надземные
название названия
наличие наличие
нарушение нарушениях
настой настой
настойка настойки
научий науч
научный научный
обнаружить обнаружены
ограничение ограничений
околоцветник околоцветником
округло округло
октябрь октябре
опадать опадающим
орган органы
организм организм
остепненный остепненным
отвар отвар
пара пара
перистый перистые
печень печени
плод плод
повислый повислые
подземный подземные
полова половой
полоса полосы
предыдущий предыдущее
применение применение
применяться применяются
примечание примечание
противовоспалительный противовоспалительное
противомикробный противомикробное
противоспалительный противоспалительное
пыление пыления
разредить разреженным
распространение распространения
растение растение растений растения
редко редко
рогов рогова
россия россии
рыхлый рыхлая
сапонин сапонины
сбор сбора
сверху сверху
семейство семейство
сентябрь сентябре
сидячий сидячие
ситниковый ситников
склон склонам
скотников скотникова
следующий следующее
смотреть см
собрать собранная
содержать содержит
состав состав
сосудистый сосудистые
соцветие соцветие
спиртовой спиртовой
спорадически спорадически
спороношение спороношения
средний средней
средство средство
стебель стебель
стенокардия стенокардии
стержнекорневой стержнекорневой
сфера сферы
тализопарвин тализопарвин
талливармин талливармин
талмелатидин талмелатидин
талметина талметин
талругосаминин талругосаминин
талсивазин талсивазин
татарстан татарстана
терпинный терпинен
тимол тимол
тип тип
тов тов
трава трава травы
травянистый травянистый
тракт тракта
трижды трижды
тритерпеновый тритерпеновые
туберкулёз туберкулезе
тычинка тычинок
узловатый узловатое
уна ун
фитохимический фитохимический
флора флора
форма форма
фотограф фотограф
фотография фотографии
хаитов хаитова
характеристика характеристика
цвет цвета
цветение цветения
цветок цветки
цветущий цветущее
цимя цимен
цинеола цинеол
часть части
экзема экземах
электронный электронный
эфирный эфирное
ядовитый ядовитое
яйцевидный яйцевидные
