алкалоид алкалоидов
альтернативный альтернативные
аппетит аппетит
атлас атлас
бакина бакин
бахромчатый бахромчатый
безлистный безлистный
белый бело
берег берегам
болото болотам
вахта вахта
вахтовый вахтовые
вегетирующий вегетирующее
венчик венчик
верхний верхняя
вершина вершине
ветвиться ветвящийся
вещество веществами
вид виде
водяной водяной
возбуждать возбуждающего
воронковидный воронковидный
встречаемость встречаемость
встречаться встречается
высота высота высотой
высушить высушенные
гелофит гелофит
гиперозид гиперозид
голый голые
горечь горечи
горячее горячего
губчатый губчатый
гэотар гэотар
действие действия
действовать действующими
длинно длинно
длинный длинное
европейский европейской
желудочный желудочной
желчегонный желчегонное
жизненный жизненная
жёлчный желчных
заболачиваться заболачивающихся
заболевание заболеваниях
завязь завязь
зелёный зелёного
земноводный земноводный
зимнезелёный зимнезеленый
изд изд
изредка изредка
информация информации
июль июль
йод йода
казан казан
казань казань
карта карта
качество качестве
кисть кисть
кмк кмк
количество количество
корневище корневище
корневищный корневищный
коробочка коробочка
легенда легенда
летний летне
лист листьев листья
литература литература
логанин логанин
маевский маевский
май май
медиа медиа
медь медь
ментиафолина ментиафолин
многолетник многолетник
монотерпеноидный монотерпеноидные
морфологический морфологическая
название названия
накапливать накапливают
наличие наличие
настой настоя
настойка настойки
научий науч
находиться находящееся
некоторый некоторое
ограничение ограничений
озеро озер
орган органы
организм организм
основный основными
оставаться остается
отгиб отгибом
очередной очередные
печень печени
пищеварение пищеварения
плод плод плоде
ползучий ползучий
полоса полосы
предыдущий предыдущее
применение применение
применяться применяются
прохоренко прохоренко
путь путей
пыление пыления
пятилопастный пятилопастным
распространение распространения
растение растение растений растения
редко редко
рогов рогова
розовый розовые
россия россии
рутина рутин
самылина самылина
сбор сбора
сверозид сверозид
секреция секреции
селен селен
семейство семейство
ситниковый ситников
след следы
следующий следующее
смотреть см
собранный собранные
состав состав
сосудистый сосудистые
соцветие соцветие
сплавина сплавинам
спорадически спорадически
спороношение спороношения
способствовать способствующего
средний средней
средство средства средство
стебель стебель стебля
татарстан татарстана
тип тип
тов тов
толстый толстое
торфяной торфяным
травянистый травянистый
трехлистный трехлистная
трилистник трилистник
трифолин трифолин
трифоль трифоль
тройчатый тройчатые
тычинка тычинок
узел узлах
укореняться укореняющееся
улучшение улучшению
уна ун
усиление усилению
фармакогнозия фармакогнозия
фитохимический фитохимический
флавоноид флавоноиды
флора флора
форма форма
фотограф фотограф
характеристика характеристика
цвет цвета
цветение цветения
цветок цветки
цветонос цветонос
часть части
чашечка чашечка
черешковый черешковые
членистый членистый
шаровидный шаровидная
экстракт экстракта
являться являются
яковлев яковлев
