азотсодержащий азотсодержащие
альтернативный альтернативные
антисептический антисептическое
атлас атлас
ацетилхолин ацетилхолин
бакина бакин
берег берегам
венчик венчик
вербейник вербейник
верхний верхняя
вещество вещества
вид виде
витамин витамин
водоём водоемов
встречаемость встречаемость
встречаться встречается
выгон выгонам
высота высота
высушить высушенная
гиперина гиперин
глиозида глиозиды
действие действия
дубильный дубильные
европейский европейской
железка железками
желтуха желтухе
желчегонный желчегонное
жизненный жизненная
жёлтый желтый
завязь завязь
зимнезелёный зимнезеленый
зимовать зимующие
изд изд
информация информации
июль июль
июнь июнь
кадыров кадырова
казан казан
казань казань
канава канавам
карта карта
кверцетин кверцетин
кемпферол кемпферол
кислота кислоты
кмк кмк
корень корнях
коробочка коробочка
короткий коротких
кофейный кофейная
кровоостанавливающий кровоостанавливающее
кровотечение кровотечениях
легенда легенда
лежачий лежачий
леса лесам
летний летне
лист листьев листья листьях
литература литература
луг лугам
луговой луговой
маевский маевский
менструация менструаций
мирицетин мирицетин
многолетник многолетник
молочница молочнице
монетчатый монетчатый
морфологический морфологическая
надземный надземные
название названия
наличие наличие
настой настоя
научий науч
обильный обильных
обнаружить обнаружены
ограничение ограничений
одиночный одиночные
округлый округлые
орган органы
организм организм
органический органические
пазуха пазухах
плод плод
побег побеги
покрыть покрыто
ползучий ползучий
полоса полосы
понос поносах
предыдущий предыдущее
применение применение
применяться применяется
примуловый примуловые
противовоспалительный противовоспалительное
противомикробный противомикробное
противосудорожный противосудорожное
пыление пыления
распространение распространения
растение растение растении растений растения
редко редко
рогов рогова
россия россии
рутина рутин
сбор сбора
свежий свежая
семейство семейство
сердцевидный сердцевидные
ситниковый ситников
слабость слабости
следующий следующее
смотреть см
содержаться содержатся
состав состав
сосудистый сосудистые
спорадически спорадически
спороношение спороношения
средний средней
средство средство
стебель стебель стеблях
стебло стебле
стоматит стоматите
судорога судорогах
супротивный супротивные
сырой сырым
татарстан татарстана
тип тип
тов тов
тонизировать тонизирующее
трава трава
травянистый травянистый
тычинка тычинок
узел узлах
укореняться укореняющийся
уна ун
фитохимический фитохимический
флавоноид флавоноиды
флора флора
форма форма
фотограф фотограф
хамефита хамефит
характеристика характеристика
хлорогеновый хлорогеновая
холин холин
цветение цветения
цветок цветках цветки
цветоножка цветоножках
цветущий цветущее
цельнокрайный цельнокрайные
цинга цинге
чай чай
часть части
черешок черешках
шаровидный шаровидная
яйцевидный яйцевидно
