активный активных
альтернативный альтернативные
атлас атлас
бакина бакин
бешлея бешлей
биологически биологически
биологический биологические
биология биология
болезнь болезнях
венчик венчик
верхний верхняя
вещество веществ
вид виде
восходящий восходящий
встречаемость встречаемость
встречаться встречается
высота высота
гвоздик гвоздика
гвоздичный гвоздичные
гематурия гематурии
гемикриптофит гемикриптофит
гипсогенов гипсогеновой
готовить готовят
действие действие действия
дернинка дернинки
европейский европейской
желобчатый желобчатые
желудочный желудочно
жизненный жизненная
заболевание заболеваниях
завязь завязь
засыхать засыхают
зимнезелёный зимнезеленый
известие известия
изд изд
изредка изредка
иметь имеют
информация информации
источник источник
июль июль
июнь июнь
казан казан
казань казань
каротиноид каротиноид
карта карта
кислота кислоты
китайский китайская
кишечный кишечного
кмк кмк
коми коми
компактный компактные
корень корень
коробочка коробочка
кровоостанавливающий кровоостанавливающее
кустарник кустарникам
кустик кустики
ланцетный ланцетные
легенда легенда
летний летне
лист листья
литература литература
луг лугам
лютеин лютеин
маевский маевский
мг мг
многолетник многолетник
морфологический морфологическая
мочегонное мочегонное
мочеполовой мочеполовой
надземный надземные
название названия
наличие наличие
насекомое насекомых
научий науч
научный научного
нижний нижние
обезболивать обезболивающее
обнаружить обнаружен
образовать образуют
ограничение ограничений
одиночный одиночные
опушка опушкам
орган органы
организм организм
остепненный остепненным
остроконечный остроконечные
отвар отвары
плод плод
плоский плоские
полоса полосы
поляна полянам
потогонное потогонное
предыдущий предыдущее
применение применение
применять применяют
применяться применяется
производный производное
противовоспалительный противовоспалительное
прямостоячий прямостоячий
пыление пыления
разный разных
ран ран
раскидистый раскидистые
распространение распространение распространения
растение растение растений растения
редко редко
рогов рогова
розовый розовый
россия россии
сбор сбора
свойство свойства
семейство семейства семейство
серия серия
ситниковый ситников
скотников скотникова
слегка слегка
следующий следующее
смотреть см
содержание содержание
содержать содержит
сосняк сосняков
состав состав
сосудистый сосудистые
соцветие соцветие
спорадически спорадически
спороношение спороношения
средний средней
стебель стебель стебли
стеблевой стеблевые
стержневой стержневой
стержнекорневой стержнекорневой
супротивный супротивные
сустав суставов
сфера сферы
татарстан татарстана
тип тип
тов тов
трава трава
травянистый травянистый
тракт тракта
тычинка тычинок
укус укусах
уна ун
урщ урщ
уфимцев уфимцев
фиолетовый фиолетовый
фитохимический фитохимический
флора флора
форма форма
фотограф фотограф
фотография фотографии
характеристика характеристика
цветение цветения
цветок цветках цветки
цветущий цветущее
центр центра
часть части
ширшов ширшова
щитковидный щитковидное
экзема экземах
экология экология
экспериментальный экспериментальная
