адонивернить адонивернит
адонис адонис
адонит адонит
адонитоксигенин адонитоксигенина
адонитоксин адонитоксин
альтернативный альтернативные
атлас атлас
базедов базедовой
бакина бакин
болезнь болезни
вертикальный вертикальное
верхний верхняя
верхушка верхушке
весенний весенний
вид виде
витексин витексин
встречаемость встречаемость
встречаться встречается встречающееся
высота высота
высушить высушенная
гемикриптофит гемикриптофит
гладкий гладкие
гликозид гликозидов
горицвет горицвет
гэотар гэотар
действие действия
деятельность деятельности
др др
европейский европейской
жизненный жизненная
жёлтый желтые
заболевание заболеваний заболеваниях
завязь завязь
изд изд
изредка изредка
инфекционный инфекционных
источник источник
казан казан
казань казань
карбонатный карбонатной
карденолид карденолидов карденолиды
кардиологический кардиологическое
кардиотонический кардиотонических
карта карта
кмк кмк
корневище корневище
короткий короткое
короткокорневищный короткокорневищный
крупный крупные
кумарин кумарины
легенда легенда
лес лесов
лечение лечении
лист листья
литература литература
луг лугам
лютиковый лютиковые
маевский маевский
май май
медиа медиа
многократно многократно
многолетник многолетник
многоорешек многоорешек
множество множество
морфологический морфологическая
надземный надземные
название названия
наличие наличие
настой настоя
научий науч
невроз неврозах
недостаточность недостаточности
нижний нижние
обнаружить обнаружены
ограничение ограничений
одиночный одиночные
округлый округлые
опушка опушкам
орган органы
организм организм
ориентина ориентин
основное основном
основной основные
остальной остальные
остепненный остепненным
осыпание осыпания
отёк отеках
период период
плод плод плодов
полоса полосы
почва почве
предыдущий предыдущее
прикорневой прикорневые
применение применение
применяться применяется
производная производных
противомикробный противомикробное
прямостоячий прямостоячие
пыление пыления
распространение распространения
рассечь рассеченные
растение растение растений растения
редко редко
рогов рогова
россия россии
самылина самылина
сапонин сапонины
сбор сбора
свыше свыше
семейство семейство
сердечно сердечно
сердечный сердечной
сердце сердца
ситниковый ситников
склон склонам
скотников скотникова
следующий следующее
смотреть см
собрать собранная
содержать содержит
состав состав
сосудистый сосудистые сосудистых
спирт спирт
спорадически спорадически
спороношение спороношения
средний средней
стебель стебли стебля
стебельный стебельные
стеблевой стеблевые
строфантидин строфантидина
строфантин строфантин
татарстан татарстана
тип тип типа
тов тов
трава трава
травянистый травянистый
тычинка тычинок
уна ун
фармакогнозия фармакогнозия
фитохимический фитохимический
флавоноид флавоноиды
флора флора
форма форма
фотограф фотограф
фотография фотографии
характеристика характеристика
хронический хронической
цветение цветения
цветок цветки
цветущий цветущее
цимарин цимарин
часть части
чешуя чешуй
яковлев яковлев
