авикулярина авикулярин
альтернативный альтернативные
аскорбиновый аскорбиновая
атлас атлас
бакина бакин
белый белыми
берег берегам
болезнь болезней болезни
верхний верхняя
вещество веществ вещества
водоём водоемов
восходящий восходящий
встречаемость встречаемость
встречаться встречается
выраженный выраженными
высота высота
высушить высушенная
вяжущий вяжущее
главный главные
горец горец
гречишный гречишные
гэотар гэотар
двенадцатиперстный двенадцатиперстной
действие действия
дорога дорогам
дубильный дубильные
европейский европейской
желудок желудка
жизненный жизненная
завязь завязь
застарелый застарелых
изд изд
информация информации
июль июль
кадыров кадырова
казан казан
казань казань
карта карта
катар катаров
кверцитрин кверцитрин
кислота кислота кислоты
кишка кишки
кмк кмк
корень корень
край краями
кремниевый кремниевой
кровоостанавливающий кровоостанавливающее
легенда легенда
лечение лечении
лист листья
литература литература
маевский маевский
медиа медиа
мелкий мелкие
молодой молодые
морфологический морфологическая
мочевой мочевого
мочегонное мочегонное
надземный надземные
название названия
наличие наличие
научий науч
обмен обмена
ограничение ограничений
однолетник однолетник
околоцветник околоцветник
окраина окраинам
орган органы
организм организм
орех орех
очередной очередные
пазушный пазушные
плод плод
поле полей
полоса полосы
понос поносов
предыдущий предыдущее
применение применение
применяться применяется
продолговатый продолговатые
прямостоячий прямостоячий
птичий птичий
пузырь пузыря
пустырь пустырям
пыление пыления
распростереть распростертый
распространение распространения
растение растений растения
редко редко
рогов рогова
розовый розовыми
россия россии
сад садам
самылина самылина
сбор сбора
семейство семейство
сентябрь сентябрь
сильно сильно
ситниковый ситников
следующий следующее
смотреть см
собрать собранная
содержаться содержатся
соединение соединений
состав состав
сосудистый сосудистые
спорадически спорадически
спороношение спороношения
спорыш спорыш
средний средней
средство средство
стебель стебель
стержневой стержневой
татарстан татарстана
терофит терофит
тип тип
тов тов
трава трава траве
тупой тупые
тычинка тычинок
узел узлами
уна ун
учебник учебник
фаза фазу
фармакогнозия фармакогнозия
фенольный фенольные
фитохимический фитохимический
флавоноид флавоноиды
флора флора
форма форма
фотограф фотограф
характеристика характеристика
цветение цветения
цветок цветки
часть части
язвенный язвенной
яковлев яковлев
