азот азота
альтернативный альтернативные
антисептический антисептическое
атлас атлас
бакина бакин
бледно бледно
верхний верхней верхняя
вещество вещества
волосок волоски
встречаемость встречаемость
встречаться встречается
высокий высокой
высота высота
высушить высушенные
вяжущий вяжущее
галловый галловая
гемикриптофит гемикриптофит
геморрой геморрое
гентизиновый гентизиновая
городской городской
гравилат гравилат
гранистый гранистый
действие действия
длинночерешковый длинночерешковые
длинный длинных
доля долей
дубильный дубильные
европейский европейской
железка железки
желудочный желудочно
жизненный жизненная
жирный жирные
жёлтый желтого
жёлчный желчного
заболевание заболеваниях
завязь завязь
зимнезелёный зимнезеленый
изд изд
иметь имеют
информация информации
июнь июнь
кадыров кадырова
казан казан
казань казань
каротиноид каротиноиды
карта карта
катар катаре
кверцетин кверцетин
кислота кислоты
кишечный кишечного кишечных
кмк кмк
колика коликах
корень корни корнями
корневище корневища корневище
короткокорневищный короткокорневищный
короткочерешковый короткочерешковые
кофейный кофейная
крупный крупной
крючкообразный крючкообразными
кустарник кустарникам
лактон лактон
легенда легенда
леса лесам
летний летне
линолевый линолевая
лист листья
литература литература
маевский маевский
май май
масло масло
место местам
метеоризм метеоризме
миртанал миртанал
миртенать миртенал
миртенол миртенол
многолетник многолетник
многоорешек многоорешек
множество множество
морфологический морфологическая
мягкий мягким
название названия
наличие наличие
нарушение нарушении
научий науч
непарноперистый непарноперистые
неразветвлённый неразветвленное
ограничение ограничений
одиночный одиночные
опушение опушением
орган органы
организм организм
осень осенью
пальмитиновый пальмитиновая
печень печени
пищеварение пищеварения
плод плод
повышенный повышенным
подземный подземные
поздний поздней
полоса полосы
почва почвах
предыдущий предыдущее
прикорневой прикорневые
применение применение
применяться применяются
промыть промытые
противовоспалительный противовоспалительное
противомикробный противомикробное
протокатеховой протокатеховая
прямостоячий прямостоячий
пузырь пузыря
пыление пыления
распространение распространения
расстройство расстройстве
растение растение растении растений растения
рвота рвоте
редко редко
рогов рогова
розовый розовые
россия россии
сбор сбора
семейство семейство
сесквитерпеновый сесквитерпеновый
ситниковый ситников
следующий следующее
смотреть см
собранный собранные
содержание содержанием
содержаться содержатся
сопровождать сопровождаемом
сорный сорным
состав состав
сосудистый сосудистые
спорадически спорадически
спороношение спороношения
средний средней
средство средство
стебель стебель
стеблевой стеблевые
сухой сухой
татарстан татарстана
температура температурой
тип тип
тов тов
травянистый травянистый
тракт тракта
тройчатый тройчатые
тычинка тычинок
уна ун
фенольный фенольные
фитохимический фитохимический
флавоноид флавоноиды
флора флора
флороглюцин флороглюцин
форма форма
фотограф фотограф
характеристика характеристика
хвостик хвостиками
хлорогеновый хлорогеновая
цвет цвета
цветение цветения
цветок цветки
цветоножка цветоножках
цветущий цветущее
цницин цницин
часть части
эвгенол эвгенол
эфирный эфирное
