август августе
алкалоид алкалоиды
альтернативный альтернативные
аминокислота аминокислоты
апигенин апигенин
аппетит аппетита
атлас атлас
атония атонии
ауротензин ауротензин
бакина бакин
бензофенантридин бензофенантридины
верхушка верхушка
вещество вещества
включая включая
восходящий восходящий
встречаемость встречаемость
встречаться встречается
высота высота
высушить высушенная
геморрой геморрое
гиперозид гиперозид
гликозид гликозиды
гранистый гранистый
действие действия
дикий дикая
дубильный дубильные
дымянка дымянка
европейский европейской
желтуха желтухе
женский женских
жизненный жизненная
заболевание заболеваниях
изд изд
изокверцитрина изокверцитрин
инденобензазепин инденобензазепины
информация информации
июнь июне июнь
кадыров кадырова
казан казан
казань казань
карта карта
кверцетин кверцетин
кверцитрин кверцитрин
кемпферол кемпферол
кислота кислота кислоты
кисть кисть
кишечник кишечника
кмк кмк
корень корень
криптопин криптопин
кумаровый кумаровая
легенда легенда
лекарственный лекарственная
лист листья
литература литература
маевский маевский
маковый маковые
масло масла
место местам
метилсинактин метилсинактин
мирицетин мирицетин
морфологический морфологическая
надземный надземные
название названия
наличие наличие
наружно наружно
научий науч
нелетучий нелетучие
неправильный неправильные
огород огородам
ограничение ограничений
однолетник однолетник
орган органы
организм организм
орех орех
отсутствие отсутствии
перистый перисто
плод плод
поле полям
полоса полосы
предыдущий предыдущее
применение применение
применять применяют
применяться применяется
примечание примечание
приплюснуть приплюснутый
протоберберин протоберберины
протопин протопин
протопина протопины
прямостоячий прямостоячий
пыление пыления
распространение распространения
рассечь рассеченные
растение растение растений растения
редко редко
рогов рогова
розовый розово
россия россии
рута рута
рутина рутин
сангвинарин сангвинарин
сапонин сапонины
сбор сбора
свежий свежий
семейство семейство
сентябрь сентябрь
сизоватый сизоватый
синактин синактин
синапиновый синапиновая
ситниковый ситников
следующий следующее
смотреть см
собрать собранная
содержать содержит
сок сок
сорный сорным
состав состав
сосудистый сосудистые
соцветие соцветие
спиробензилизохинолина спиробензилизохинолины
спорадически спорадически
спороношение спороношения
средний средней
стебель стебель
стержневой стержневой
стероид стероиды
стилопин стилопин
татарстан татарстана
терофит терофит
терпеноид терпеноиды
тип тип
тов тов
трава трава
туберкулёз туберкулезе
уна ун
фенольный фенольные
феруловый феруловая
фиолетовый фиолетовые
фитостерол фитостеролы
фитохимический фитохимический
флавон флавон
флавонола флавонолы
флора флора
форма форма
фотограф фотограф
фумарилин фумарилин
фумарин фумарин
фумаритина фумаритин
фумаритрина фумаритрин
фумарицин фумарицин
характеристика характеристика
хронический хронических
цветение цветения
цветок цветками цветки
цветущий цветущего
часть части
чесотка чесотке
ядовитый ядовитое
