авитаминоз авитаминозе
альтернативный альтернативные
атлас атлас
бакина бакин
бактерицидный бактерицидными
барий барий
борнилацетат борнилацетат
ванадий ванадий
величина величины
вечнозелёный вечнозеленое
вещество вещества
встречаемость встречаемость
встречаться встречается
высота высота
высушить высушенные
высыпание высыпания
вытянутый вытянуты
гэотар гэотар
действие действия
дерево дерево
др др
дубильный дубильные
европейский европейской
еловый елово
ель ель
ельник ельники
естествознание естествознания
есть ели
жекина жекина
женский женские
жизненный жизненная
жёсткий жесткие
зазубрить зазубрены
заострить заостренные
зелёный зеленую
изд изд
информация информации
использовать используют
июнь июнь
кадыров кадырова
казан казан
казань казань
карен карен
карта карта
кмк кмк
колючий колюча колючей
коричневый коричневую
край краю
легенда легенда
лес леса
лето летом
лимонный лимонен
лист листья
литература литература
маевский маевский
май май
марганец марганец
масло масло
медиа медиа
медь медь
мезофанерофит мезофанерофит
менять меняют
микростробил микростробилы
мирцена мирцен
молодой молодые
морфологический морфологическая
мягкий мягче
название названия
накапливать накапливает
наличие наличие
наоборот наоборот
направить направлены
научий науч
никель никель
обладать обладающие
ограничение ограничений
окраска окраску
опадать опадают
орган органы
организм организм
отвар отвар
отличие отличие
пазушный пазушные
первый первой
пинный пинен
побег побегах
полоса полосы
поникать поникают
постепенно постепенно
потомство потомства
предволжье предволжье
предыдущий предыдущее
применение применение
применяться применяются
противомикробный противомикробное
прошлое прошлого
пурпурный пурпурные
пыление пыления
распространение распространения
растение растений растения
редко редко
рогов рогова
рогозин рогозин
россия россии
рост рост
самылина самылина
сбор сбора
свинец свинец
свойство свойствами
семейство семейство
семя семян
ситниковый ситников
следующий следующее
смола смолы
собранный собранные
современный современного
содержать содержат
созревание созревания
созревать созревают
сосновый сосновые
состав состав составе
сосудистый сосудистые
спорадически спорадически
спороношение спороношения
средний средней
стронций стронций
татарстан татарстана
тип тип
титан титан
тов тов
треугольный треугольно
уна ун
успех успехи
устойчивый устойчивый
фармакогнозия фармакогнозия
финский финская финской
фитохимический фитохимический
флора флора
форма форма
формировать формирует
фосфор фосфор
фотограф фотограф
фрагментарный фрагментарны
характеристика характеристика
хвоя хвои хвоя
химический химический
хром хром
цветение цветения
цинк цинк
цирконий цирконий
часть части
чешуя чешуи
чистый чистые
широколиственный широколиственные
шишка шишек шишки
эфирный эфирное
яковлев яковлев
ярко ярко
