авитаминоз авитаминозах
альтернативный альтернативные
анемия анемии
апрель апреле апреля
аскорбиновый аскорбиновая
атеросклероз атеросклерозе
атлас атлас
бакина бакин
берёза береза
берёзовый березовые березовый
бетулафолиентриол бетулафолиентриол
богатый богаты
бородавочка бородавочками
бородавчатый бородавчатая
бурый бурые
ванна ванны
величина величины
ветка ветки
вещество вещества веществами
вид виде
встречаемость встречаемость
встречаться встречается
вторичный вторичные
вырубка вырубок
высота высота
гипо гипо
голый голые
горячий горячие
гэотар гэотар
даммарановый даммаранового
два двумя
двоякозубчатый двоякозубчатые
действие действия
дерево дерево
длительно длительно
европейский европейской
жаропонижающий жаропонижающее
железка железками
жизненный жизненная
заболевание заболеваниях
заострить заострённой
изд изд
изомер изомер
информация информации
использование использованием
июль июле
июнь июне
кадыров кадырова
казан казан
казань казань
карта карта
качество качестве
кислота кислота
клейкий клейкие
кмк кмк
компонент компоненты
красный красно
крылатка крылатками
лактон лактоны
легенда легенда
лес леса лесов
лечение лечении
лист листья листьях
литература литература
маевский маевский
май май
март марте
масло масла масло
медиа медиа
мезофанерофит мезофанерофит
мелкий мелкие
мелколиственный мелколиственные
место местах
морфологический морфологическая
мочегонное мочегонного мочегонное
название названия
найти найдены
наличие наличие
настой настоя
настойка настойки
научий науч
невзрачный невзрачные
незаживающий незаживающих
общеукрепляющий общеукрепляющее
ограничение ограничений
опушка опушкам
орган органы
организм организм
орешек орешек
основной основные
острый острых
отвар отвара
очерёдный очерёдные
первый первой
плод плод
плёнчатый пленчатыми
повислый повислая
пожар пожаров
покрыть покрыты покрытые
поливитаминный поливитаминное
полоса полосы
потогонное потогонного потогонное
почка почек почки
предыдущий предыдущее
применение применение
применять применяют
применяться применяются
прогала прогалам
протопанаксдиол протопанаксдиола
пыление пыления
раздельнополый раздельнополые
рана ранах
расположить расположенными
распространение распространения
растение растений растения
ревматизм ревматизме
редко редко
рекомендовать рекомендуют
рогов рогова
россия россии
ряд ряда
самылина самылина
сапонин сапонины
сбор сбора
семейство семейство
серёжка сережки
сесквитерпеновый сесквитерпеновые
сидячий сидячие
ситниковый ситников
следующий следующее
смешанный смешанные
смолистый смолистые смолистыми
собранный собранные
собрать собраны
содержать содержат
сок сок
состав состав
сосудистый сосудистые
соцветие соцветия
спорадически спорадически
спороношение спороношения
средний средней
средство средства средство
татарстан татарстана
тип тип
тов тов
треугольный треугольно
тритерпеноид тритерпеноид
туберкулёз туберкулезе
уна ун
фармакогнозия фармакогнозия
фитохимический фитохимический
флавоноид флавоноиды
флора флора
форма форма формы
формировать формирует
фотограф фотограф
фурункулёз фурункулезе
характеристика характеристика
хронический хроническим
цветение цветения
цветок цветки
часть части
черепитчатый черепитчато
черешковый черешковые
чешуя чешуями
экзема экзем
эфирный эфирного эфирное
яйцевидный яйцевидной
яковлев яковлев
