агликоновый агликонов
альтернативный альтернативные
атлас атлас
бакина бакин
белолоза белолоз
белоталый белотал
берег берегам
болото болотам
буроватый буроватые
верхний верхняя
весна весной весны
ветвь ветви
ветка ветки
вещество вещества
вималин вималин
вода воду
водоём водоемов
возможность возможности
встречаемость встречаемость
встречаться встречается
высота высота
вяжущий вяжущее
галловый галловая
грандидентатин грандидентатин
двудомный двудомное
действие действия
длинный длинной
докл докл
дубильный дубильные
европейский европейской
жаропонижающий жаропонижающее
женский женские
жизненный жизненная
завязь завязь
заготавливать заготавливают
засыпать засыпают
земля землей
зубчатый зубчатые
ив ивы
ива ива
ивовый ивовые
изд изд
изорамнетина изорамнетина
изучение изучение
институт института
информация информации
использование использования
использоваться используется
источник источник
кавказ кавказе
казан казан
казань казань
карта карта
катехина катехин
кверцетин кверцетин
кверцетина кверцетина
кемпферол кемпферола
кислота кислот кислоты
класть кладут
кмк кмк
компанец компанцев
компанцев компанцева
конф конф
кора кора коре
коричный коричная
коробочка коробочка
коротко коротко
кровоостанавливающий кровоостанавливающее
кустарник кустарник
ланцетный ланцетные
легенда легенда
легко легко
лейкоантоцианидин лейкоантоцианидины
летний летних
лист листья листьях
литература литература
лоза лоза
луг лугам
маевский маевский
май май
медицина медицине
медоносный медоносное
михеев михеев
молодой молодых
морфологический морфологическая
название названия
наличие наличие
нанофанерофит нанофанерофит
нарингенин нарингенин
научий науч
неохлорогеновый неохлорогеновая
низинный низинным
обнаружить обнаружены
ограничение ограничений
оливковый оливково
ольшаник ольшаникам
орган органы
организм организм
отделяться отделяется
перспектива перспективы
пластинка пластинками
плод плод плодами
побег побегах побегов
пойменный пойменным
полоса полосы
попов попова
потогонное потогонное
предыдущий предыдущее
прилистник прилистники
применение применение
применяться применяется
примечание примечание
производный производные
произрастать произрастающей
прямой прямые
пыление пыления
пятигорск пятигорск
пятигорский пятигорского
распространение распространения
растение растение растении растений растения
редко редко
рогов рогова
россия россии
рутина рутин
салидрозид салидрозид
саликортин саликортин
салипурпозид салипурпозид
салирепозид салирепозид
салицин салицин
санников санникова
сбор сбора
северный северном
семейство семейство
серёжка сережки
ситниковый ситников
след следы
следующий следующее
смотреть см
сниматься снимается
содержаться содержатся
соединение соединения
состав состав
сосудистый сосудистые
соцветие соцветиях
спорадически спорадически
спороношение спороношения
средний средней
средство средство
татарстан татарстана
теза тез
тип тип
тов тов
тонкий тонкие тонкими
тремулоидин тремулоидин
трехтычинковый трехтычинковая трехтычинковой
триандрина триандрин
тычинка тычинок
тычиночный тычиночные
уна ун
учёный ученых
фармакология фармакология
фармацевтический фармацевтического
фармация фармации фармация
февраль феврале
фенолкарбоновый фенолкарбоновые фенолкарбоновых
фенологликозид фенологликозиды
фенольный фенольные
феруловый феруловая
фитохимический фитохимический
флавоноид флавоноиды
флавонола флавонолы
флора флора
форма форма
фотограф фотограф
фотография фотографии
фрагилина фрагилин
фролов фролова
характеристика характеристика
хлорогеновый хлорогеновая
цветение цветения
цикориевый цикориевая
часть части
черешковый черешковые
эллиптический эллиптические
яйцевидный яйцевидно
