альтернативный альтернативные
апиофуранозить апиофуранозил
апиофураносить апиофураносил
аппетит аппетит
атлас атлас
бакина бакин
бензофенон бензофенон
бензофенонгликозид бензофенонгликозиды
бледно бледно
бронхит бронхитах
венчик венчик
верхний верхней
верхушка верхушка верхушки
ветвистый ветвистые
внутренний внутренней внутренние
возбуждать возбуждающее
волосок волосками
встречаемость встречаемость
встречаться встречается
высота высота
гемикриптофит гемикриптофит
гидроксить гидрокси
гликозид гликозиды
глюкопиранозид глюкопиранозид
действие действия
деревянистый деревянистый
дигидроксить дигидрокси
диметоксить диметокси
диметоксифлавонол диметоксифлавонол
длинный длиннее
дыхательный дыхательных
европейский европейской
жизненный жизненная
заболевание заболеваниях
изд изд
информация информации
истод истод
истодовый истодовые
источник источник
июнь июнь
казан казан
казань казань
каменистый каменистым
карта карта
кислота кислота
кисть кисти
кмк кмк
корень корень корней корни
корневище корневища
коробочка коробочка
короткий короткими
короткоопушенный короткоопушенный
крупный крупные
крыло крылья
ксантон ксантоны
ланцерин ланцерин
ланцетный ланцетные
легенда легенда
лист листья
литература литература
ложнобоковой ложнобоковые
маевский маевский
май май
мегастигмадиен мегастигмадиен
метоксибензоилсакроза метоксибензоилсакроза
метоксиксантон метоксиксантон
мм мм
многолетник многолетник
морфологический морфологическая
название названия
наличие наличие
настой настой
научий науч
негустой негустые
неправильный неправильные
несимметриный несимметриные
облиственный облиственной
овально овально
ограничение ограничений
односторонний односторонние
онджиксантон онджиксантон
опушить опушен
орган органы
организм организм
отвар отвар
паламарчук паламарчук
пентамэтоксиксантон пентамэтоксиксантон
плод плод
подземный подземные
полигалатенозид полигалатенозид
полоса полосы
предыдущий предыдущее
пресенегегин пресенегегин
прижать прижатыми
применение применение
применяться применяется
противовоспалительный противовоспалительное
противодиарейный противодиарейное
противосудорожный противосудорожное
прямой прямые
путь путей
пыление пыления
рамнетина рамнетин
распространение распространения
растение растении растений растения
редко редко
рогов рогова
россия россии
сахарид сахаридов
сбор сбора
семейство семейство
сибирироз сибирироз
сибирифенон сибирифенон
сибирский сибирский
синеватый синеватый
ситниковый ситников
слабоопушённый слабоопушенные
следующий следующее
смотреть см
содержаться содержатся
состав состав
сосудистый сосудистые
спорадически спорадически
спороношение спороношения
средний средней
стебель стебли стебля
степь степям
стержневой стержневой
стержнекорневой стержнекорневой
сторона стороны
татарстан татарстана
тенуифолизида тенуифолизид
тенуифолина тенуифолин
тетраметоксиксантон тетраметоксиксантон
тип тип
тов тов
травянистый травянистый
тригидроксить тригидрокси
триметоксикоричный триметоксикоричная
триметоксициннамоить триметоксициннамоил
тритерпеноид тритерпеноиды
уна ун
фенилпропаноид фенилпропаноиды
фиолетовый фиолетовый
фитохимический фитохимический
флавоноид флавоноиды
флора флора
форма форма
фотограф фотограф
фотография фотографии
характеристика характеристика
цветение цветения
цветок цветки
цветочный цветочные
цветущий цветущего
часть части
чашелистик чашелистики
эфир эфиры
